passage_id,version,model,surprisal
15,B,pythia-12b-deduped,2.4276647940278053
15,B,LLaMa-3.1-8B,2.580788428229945
15,B,Mistral-24B,2.1509835379464284
15,D,GPT2,3.2152174626077925
15,D,Mistral-7B,2.855194091796875
15,D,pythia-12b-deduped,2.4906808340123723
15,D,LLaMa-3.1-8B,2.6016869438546046
15,D,Mistral-24B,2.243809291294643
16,A,GPT2,2.5238178645571074
16,A,Mistral-7B,2.0544230143229165
16,A,pythia-12b-deduped,2.2506953477859497
16,A,LLaMa-3.1-8B,2.172955205043157
16,A,Mistral-24B,1.8853556315104167
16,C,GPT2,2.547616943717003
16,C,Mistral-7B,2.057942708333333
16,C,pythia-12b-deduped,2.301345298687617
16,C,LLaMa-3.1-8B,2.2389052311579385
16,C,Mistral-24B,1.87255859375
16,B,GPT2,2.303321544613157
16,B,Mistral-7B,1.8951154436383928
16,B,pythia-12b-deduped,2.0765140407851765
16,B,LLaMa-3.1-8B,2.2541483151061192
16,B,Mistral-24B,1.8965192522321428
16,D,GPT2,2.322472436087472
16,D,Mistral-7B,1.9106314522879464
16,D,pythia-12b-deduped,2.089331926511867
16,D,LLaMa-3.1-8B,2.2396106368729045
16,D,Mistral-24B,1.8965715680803568
